label,message
ham,Hey are we still meeting for lunch today?
spam,WINNER!! You have been selected to receive a FREE $1000 Walmart gift card. Click here to claim now!!!
ham,Can you pick up some milk on your way home?
spam,URGENT! Your mobile number has won a 2 week FREE membership to our 100000 prize Jackpot! Txt WORD to 80086
ham,Don't forget we have the meeting at 10am tomorrow.
spam,Congratulations! You've been selected for a free cruise to the Bahamas! Call now to claim your prize!
ham,"I'll be there in 10 minutes, traffic is bad."
spam,FREE entry into our weekly competition just text WIN to 8007 now!
ham,"Thanks for the birthday wishes, means a lot!"
spam,Your account has been suspended. Verify your details immediately at http://bit.ly/verify-now
ham,"Let's catch up this weekend, it's been too long."
spam,CONGRATULATIONS! You have won a brand new iPhone 15! Claim your prize within 24 hours.
ham,Can you send me the notes from today's class?
spam,"Get cheap loans approved instantly, no credit check required! Apply now!"
ham,Mom said dinner will be ready by 7.
spam,Limited time offer! Buy one get one free on all items. Shop now before it's gone!
ham,Did you finish the assignment for tomorrow?
spam,You have an unclaimed PayPal refund of $245.00. Click to claim before it expires.
ham,"Happy to help, just let me know what you need."
spam,Hot singles in your area are waiting to chat with you! Click here now.
ham,See you at the gym at 6?
spam,Your package could not be delivered. Reschedule delivery here: http://fake-tracking.com
ham,"I'm running late, start without me."
spam,"Earn $5000 a month working from home! No experience needed, sign up today!"
ham,Happy anniversary! Hope you have a wonderful day.
spam,FINAL NOTICE: Your car warranty is about to expire. Call now to renew.
ham,Can we reschedule our call to 3pm instead?
spam,"You've been pre-approved for a $10,000 personal loan. Apply now with no fees!"
ham,"Loved the movie last night, we should go again sometime."
spam,"Claim your free vacation voucher now! Limited slots available, act fast!"
ham,"I left my charger at your place, can I grab it later?"
spam,Your bank account has unusual activity. Verify identity now to avoid suspension.
ham,Good morning! Hope you slept well.
spam,WIN A FREE LAPTOP! Just answer this simple survey to enter.
ham,"The flight got delayed by two hours, I'll text you when I land."
spam,Double your savings! Invest now and watch your money grow 200% in a month!
ham,Could you review my report before I send it out?
spam,You are the lucky winner of our monthly draw! Reply YES to claim your reward.
ham,Let's grab coffee tomorrow morning before work.
spam,Free ringtones! Text TONE to 87121 to download your favorite hits now!
ham,Happy to babysit on Friday if you still need someone.
spam,"Your subscription is about to expire, renew now to avoid losing access!"
ham,"Thanks for covering my shift yesterday, I owe you one."
spam,Get rid of debt fast! Call our experts for a free consultation today!
ham,Can you send the address again? I think I deleted the text.
spam,You have 1 new voicemail from an unknown number. Listen now at http://voicemail-alert.com
ham,"Movie night at my place on Saturday, you in?"
spam,Act now! Your final chance to claim your $500 Amazon voucher expires tonight!
ham,I think I left my umbrella at the office.
spam,Your computer has a virus! Download our antivirus software immediately to fix it.
ham,"Congrats on the new job, so happy for you!"
spam,"Make money fast with this one simple trick, banks hate it!"
ham,Can we move our meeting to next Tuesday?
spam,"You qualify for a government grant of $9,500. Apply now before the offer ends."
ham,"Just landed, will call you once I get to the hotel."
spam,Your Netflix account is on hold. Update your payment info now to keep watching.
ham,Are you free this evening to help me move some boxes?
spam,"Last chance! 70% off everything in store today only, click to shop now."
ham,I'll send over the invoice by end of day.
spam,"SMS ALERT: You have won a $50 gift card, text CLAIM to 12345 to redeem."
ham,Remember to water the plants while I'm away.
spam,Hurry! Only 3 spots left for our free webinar on making money online.
ham,Can you proofread my email before I send it to the client?
spam,Your iCloud storage is full. Click here to upgrade and avoid losing your photos.
ham,"Dinner's at 8, don't be late this time!"
spam,You've earned 500 reward points! Redeem them now before they expire.
ham,Thanks again for helping me move last weekend.
spam,Click here to find out who's been viewing your profile!
ham,I'll pick the kids up from school today.
spam,Your refund of $89.99 is ready. Confirm your bank details to receive it.
ham,"Great game last night, the team played really well."
spam,FREE MSG: Call our customer service now to avoid your number being blocked.
ham,Can you forward me that PDF when you get a chance?
spam,"Selected for a free trial! No payment required, cancel anytime. Sign up now."
